F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
0,1,1,2,1,0,0,0,2,0,110,0,0,2
0,1,2,6,2,0,0,0,6,139,88.66666667,0,0,6
0,1,1,1,1,0,0,0,1,0,139,0,0,1
0,1,1,4,1,0,0,0,4,0,101,0,0,4
0,1,1,6,1,0,0,0,6,0,104,0,0,6
0,2,1.5,12,3,2,1,0,12,189,137.6666667,0,1,12
0,1,1,1,1,0,0,0,1,0,503,0,0,1
0,1,1,3,1,0,0,0,3,189,84.33333333,0,0,3
0,1,1,2,1,0,0,0,2,0,110,0,0,2
0,1,1,4,1,0,0,0,4,0,110,0,0,4
0,1,1,2,1,0,0,0,2,0,110,0,0,2
0,1,1,2,1,0,0,0,2,0,110,0,0,2
0,1,1,4,1,0,0,0,4,0,176.5,0,0,4
0,2,1,4,2,0,0,0,4,0,85,0,0,4
0,2,1,4,2,0,0,0,4,0,85,0,0,4
0,1,1,2,1,0,0,0,2,0,110,0,0,2
0,1,1,6,1,0,0,0,6,0,191,0,0,6
0,1,1,2,1,0,0,0,2,0,175,0,0,2
0,1,1,2,1,0,0,0,2,0,175,0,0,2
0,1,1,2,1,0,0,0,2,0,175,0,0,2
0,2,1,8,2,0,1,0,8,105,66.75,0,1,7
0,1,1,1,1,0,0,0,1,0,144,0,0,1
0,1,1,1,1,0,0,0,1,67,66,0,0,1
0,1,1,2,1,0,0,0,2,103,60,0,0,2
0,1,1,2,1,0,0,0,2,60,103,0,0,1
0,1,1,1,1,0,0,0,1,60,303,0,0,0
0,1,1,2,1,0,0,0,2,0,60,0,1,2
0,1,1,2,1,0,0,0,2,0,92,0,0,2
0,1,1,2,1,0,0,0,2,0,92,0,0,2
0,1,1,2,1,0,0,0,2,0,92,0,0,2
0,2,1,34,2,0,2,0,34,2211.583333,66.05882353,0,13,34
0,1,1,1,1,0,0,0,1,0,135,0,0,1
0,1,1,11,1,0,0,0,11,65.6,2400.363636,0,0,10
0,1,1,2,1,0,0,0,2,0,78,0,0,2
0,2,1,4,2,0,1,0,4,139,70,0,0,4
0,1,1,1,1,0,0,0,1,0,139,0,0,1
0,1,1,6,1,0,0,0,6,79,1273,0,1,6
0,1,1,10,1,0,0,0,10,1515.2,79,0,4,10
0,1,1,16,1,0,0,0,16,60,2335.25,0,0,16
0,3,1,38,3,0,1,0,38,2157.5,60.73684211,0,17,38
0,1,1,1,1,0,0,0,1,0,130,0,0,1
0,1,1,6,1,0,0,0,6,60,2103.833333,0,0,5
0,1,1,14,1,0,1,0,14,2221.8,60,0,6,14
0,1,1,2,1,0,0,0,2,0,81,0,0,2
0,1,1,1,1,0,0,0,1,0,142,0,0,1
2,2,1,12,2,2,1,0,12,641.3333333,112.1666667,1,2,12
0,1,1,3,1,0,0,0,3,137.25,641.3333333,0,0,3
0,3,1,12,3,0,1,0,12,89,106.1666667,0,2,12
0,1,1,1,1,0,0,0,1,99.5,60,0,0,1
0,1,1,1,1,0,0,0,1,0,141,0,0,1
0,1,1,1,1,0,0,0,1,149.5,66,0,0,1
0,1,1,6,1,0,0,0,6,60,2487.333333,0,0,6
0,1,1,14,1,0,0,0,14,2390,60,0,7,14
